"","","Average Attendance",""
"1","Manchester United","72,726"
"2","Arsenal","60,279"
"3","West Ham United","59,925"
"4","Tottenham Hotspur","59,384"
"5","Manchester City","54,391"
"6","Liverpool","53,116"
"7","Newcastle United","48,251"
"8","Aston Villa","41,661"
"9","Chelsea","40,563"
"10","Everton","39,150"
"11","Leicester City","32,061"
"12","Wolverhampton Wanderers","31,361"
"13","Sheffield United","30,869"
"14","Brighton & Hove Albion","30,376"
"15","Southampton","29,675"
"16","Norwich City","27,021"
"17","Crystal Palace","25,014"
"18","Watford","20,839"
"19","Burnley","20,260"
"20","AFC Bournemouth","10,510"
